,branch_district,Branch,CalendarDate,branch_day_new_loans,branch_day_emps,branch_day_workingdays,branch_day_LPE,District,LPE,Group,Golive,PrePost,Post,Group_num
659,350.0,7839,2025-09-12,1,2.0,1,0.5,350.0,0.5,Control,2025-09-17,Pre,0,0
660,350.0,7839,2025-09-15,4,2.0,1,2.0,350.0,2.0,Control,2025-09-17,Pre,0,0
661,350.0,7839,2025-09-16,4,2.0,1,2.0,350.0,2.0,Control,2025-09-17,Pre,0,0
662,350.0,7839,2025-09-17,2,2.0,1,1.0,350.0,1.0,Control,2025-09-17,Post,1,0
663,350.0,7839,2025-09-18,1,2.0,1,0.5,350.0,0.5,Control,2025-09-17,Post,1,0
664,350.0,7839,2025-09-19,2,2.0,1,1.0,350.0,1.0,Control,2025-09-17,Post,1,0
665,350.0,7839,2025-09-22,2,2.0,1,1.0,350.0,1.0,Control,2025-09-17,Post,1,0
666,350.0,7840,2025-09-10,0,3.0,1,0.0,350.0,0.0,Control,2025-09-17,Pre,0,0
667,350.0,7840,2025-09-11,0,3.0,1,0.0,350.0,0.0,Control,2025-09-17,Pre,0,0
668,350.0,7840,2025-09-12,3,3.0,1,1.0,350.0,1.0,Control,2025-09-17,Pre,0,0
669,350.0,7840,2025-09-15,2,3.0,1,0.6666666666666666,350.0,0.6666666666666666,Control,2025-09-17,Pre,0,0
670,350.0,7840,2025-09-16,1,3.0,1,0.3333333333333333,350.0,0.3333333333333333,Control,2025-09-17,Pre,0,0
671,350.0,7840,2025-09-17,4,3.0,1,1.3333333333333333,350.0,1.3333333333333333,Control,2025-09-17,Post,1,0
672,350.0,7840,2025-09-18,5,3.0,1,1.6666666666666667,350.0,1.6666666666666667,Control,2025-09-17,Post,1,0
673,350.0,7840,2025-09-19,3,3.0,1,1.0,350.0,1.0,Control,2025-09-17,Post,1,0
674,350.0,7840,2025-09-22,5,3.0,1,1.6666666666666667,350.0,1.6666666666666667,Control,2025-09-17,Post,1,0
729,365.0,7402,2025-09-10,0,2.0,1,0.0,365.0,0.0,Test,2025-09-17,Pre,0,1
730,365.0,7402,2025-09-11,2,2.0,1,1.0,365.0,1.0,Test,2025-09-17,Pre,0,1
731,365.0,7402,2025-09-12,1,2.0,1,0.5,365.0,0.5,Test,2025-09-17,Pre,0,1
732,365.0,7402,2025-09-15,2,2.0,1,1.0,365.0,1.0,Test,2025-09-17,Pre,0,1
733,365.0,7402,2025-09-16,1,2.0,1,0.5,365.0,0.5,Test,2025-09-17,Pre,0,1
734,365.0,7402,2025-09-17,0,2.0,1,0.0,365.0,0.0,Test,2025-09-17,Post,1,1
735,365.0,7402,2025-09-18,1,2.0,1,0.5,365.0,0.5,Test,2025-09-17,Post,1,1
736,365.0,7402,2025-09-19,2,2.0,1,1.0,365.0,1.0,Test,2025-09-17,Post,1,1
737,365.0,7402,2025-09-22,3,2.0,1,1.5,365.0,1.5,Test,2025-09-17,Post,1,1
738,365.0,7427,2025-09-10,2,2.0,1,1.0,365.0,1.0,Test,2025-09-17,Pre,0,1
739,365.0,7427,2025-09-11,0,2.0,1,0.0,365.0,0.0,Test,2025-09-17,Pre,0,1
740,365.0,7427,2025-09-12,0,2.0,1,0.0,365.0,0.0,Test,2025-09-17,Pre,0,1
741,365.0,7427,2025-09-15,2,2.0,1,1.0,365.0,1.0,Test,2025-09-17,Pre,0,1
742,365.0,7427,2025-09-16,1,2.0,1,0.5,365.0,0.5,Test,2025-09-17,Pre,0,1
743,365.0,7427,2025-09-17,2,2.0,1,1.0,365.0,1.0,Test,2025-09-17,Post,1,1
744,365.0,7427,2025-09-18,1,2.0,1,0.5,365.0,0.5,Test,2025-09-17,Post,1,1
745,365.0,7427,2025-09-19,4,2.0,1,2.0,365.0,2.0,Test,2025-09-17,Post,1,1
746,365.0,7427,2025-09-22,1,2.0,1,0.5,365.0,0.5,Test,2025-09-17,Post,1,1
747,365.0,7430,2025-09-10,2,2.0,1,1.0,365.0,1.0,Test,2025-09-17,Pre,0,1
748,365.0,7430,2025-09-11,0,2.0,1,0.0,365.0,0.0,Test,2025-09-17,Pre,0,1
749,365.0,7430,2025-09-12,2,2.0,1,1.0,365.0,1.0,Test,2025-09-17,Pre,0,1
750,365.0,7430,2025-09-15,1,2.0,1,0.5,365.0,0.5,Test,2025-09-17,Pre,0,1
751,365.0,7430,2025-09-16,0,2.0,1,0.0,365.0,0.0,Test,2025-09-17,Pre,0,1
752,365.0,7430,2025-09-17,4,2.0,1,2.0,365.0,2.0,Test,2025-09-17,Post,1,1
753,365.0,7430,2025-09-18,1,2.0,1,0.5,365.0,0.5,Test,2025-09-17,Post,1,1
754,365.0,7430,2025-09-19,2,2.0,1,1.0,365.0,1.0,Test,2025-09-17,Post,1,1
755,365.0,7430,2025-09-22,1,2.0,1,0.5,365.0,0.5,Test,2025-09-17,Post,1,1
756,365.0,7434,2025-09-10,2,2.0,1,1.0,365.0,1.0,Test,2025-09-17,Pre,0,1
757,365.0,7434,2025-09-11,1,2.0,1,0.5,365.0,0.5,Test,2025-09-17,Pre,0,1
758,365.0,7434,2025-09-12,2,2.0,1,1.0,365.0,1.0,Test,2025-09-17,Pre,0,1
759,365.0,7434,2025-09-15,4,2.0,1,2.0,365.0,2.0,Test,2025-09-17,Pre,0,1
760,365.0,7434,2025-09-16,2,2.0,1,1.0,365.0,1.0,Test,2025-09-17,Pre,0,1
761,365.0,7434,2025-09-17,3,2.0,1,1.5,365.0,1.5,Test,2025-09-17,Post,1,1
762,365.0,7434,2025-09-18,0,2.0,1,0.0,365.0,0.0,Test,2025-09-17,Post,1,1
763,365.0,7434,2025-09-19,3,2.0,1,1.5,365.0,1.5,Test,2025-09-17,Post,1,1
764,365.0,7434,2025-09-22,1,2.0,1,0.5,365.0,0.5,Test,2025-09-17,Post,1,1
765,365.0,7443,2025-09-10,0,2.0,1,0.0,365.0,0.0,Test,2025-09-17,Pre,0,1
766,365.0,7443,2025-09-11,0,2.0,1,0.0,365.0,0.0,Test,2025-09-17,Pre,0,1
767,365.0,7443,2025-09-12,0,2.0,1,0.0,365.0,0.0,Test,2025-09-17,Pre,0,1
768,365.0,7443,2025-09-15,3,2.0,1,1.5,365.0,1.5,Test,2025-09-17,Pre,0,1
769,365.0,7443,2025-09-16,3,2.0,1,1.5,365.0,1.5,Test,2025-09-17,Pre,0,1
770,365.0,7443,2025-09-17,4,2.0,1,2.0,365.0,2.0,Test,2025-09-17,Post,1,1
771,365.0,7443,2025-09-18,1,2.0,1,0.5,365.0,0.5,Test,2025-09-17,Post,1,1
772,365.0,7443,2025-09-19,3,2.0,1,1.5,365.0,1.5,Test,2025-09-17,Post,1,1
773,365.0,7443,2025-09-22,0,2.0,1,0.0,365.0,0.0,Test,2025-09-17,Post,1,1
774,370.0,3511,2025-09-10,8,6.0,1,1.3333333333333333,370.0,1.3333333333333333,Test,2025-09-17,Pre,0,1
775,370.0,3511,2025-09-11,4,6.0,1,0.6666666666666666,370.0,0.6666666666666666,Test,2025-09-17,Pre,0,1
776,370.0,3511,2025-09-12,5,6.0,1,0.8333333333333334,370.0,0.8333333333333334,Test,2025-09-17,Pre,0,1
777,370.0,3511,2025-09-15,2,6.0,1,0.3333333333333333,370.0,0.3333333333333333,Test,2025-09-17,Pre,0,1
778,370.0,3511,2025-09-16,7,6.0,1,1.1666666666666667,370.0,1.1666666666666667,Test,2025-09-17,Pre,0,1
779,370.0,3511,2025-09-17,4,6.0,1,0.6666666666666666,370.0,0.6666666666666666,Test,2025-09-17,Post,1,1
780,370.0,3511,2025-09-18,4,6.0,1,0.6666666666666666,370.0,0.6666666666666666,Test,2025-09-17,Post,1,1
781,370.0,3511,2025-09-19,4,6.0,1,0.6666666666666666,370.0,0.6666666666666666,Test,2025-09-17,Post,1,1
782,370.0,3511,2025-09-22,7,6.0,1,1.1666666666666667,370.0,1.1666666666666667,Test,2025-09-17,Post,1,1
